Geography Type,Geography Name,Year,Population,Households,Persons Per Household (PPH)
County,Lake,2016,10626.00,4812.00,2.16
County,Lake of the Woods,2016,3883.00,1755.00,2.18
County,Le Sueur,2016,27639.00,10852.00,2.52
County,Lincoln,2016,5766.00,2535.00,2.22
County,Lyon,2016,25684.00,10297.00,2.39
County,McLeod,2016,35853.00,14637.00,2.42
County,Mahnomen,2016,5443.00,1999.00,2.68
County,Marshall,2016,9317.00,3948.00,2.34
County,Martin,2016,19880.00,8859.00,2.2
County,Meeker,2016,23109.00,9204.00,2.47
County,Mille Lacs,2016,25860.00,10213.00,2.48
County,Morrison,2016,32826.00,13162.00,2.45
County,Mower,2016,39192.00,15871.00,2.43
County,Murray,2016,8332.00,3644.00,2.24
County,Nicollet,2016,33603.00,12726.00,2.41
County,Nobles,2016,21825.00,8031.00,2.67
County,Norman,2016,6592.00,2765.00,2.33
County,Olmsted,2016,153039.00,60962.00,2.47
County,Otter Tail,2016,58001.00,24452.00,2.33
County,Pennington,2016,14244.00,6043.00,2.3
County,Pine,2016,28879.00,11344.00,2.4
County,Pipestone,2016,9211.00,3985.00,2.26
County,Polk,2016,31647.00,12801.00,2.37
County,Pope,2016,11026.00,4818.00,2.25
County,Ramsey,2016,540653.00,212672.00,2.45
County,Red Lake,2016,3996.00,1719.00,2.32
County,Redwood,2016,15275.00,6416.00,2.32
County,Renville,2016,14719.00,6281.00,2.28
County,Rice,2016,65607.00,23033.00,2.53
County,Rock,2016,9484.00,3900.00,2.37
County,Roseau,2016,15659.00,6372.00,2.43
County,St. Louis,2016,199744.00,85968.00,2.22
County,Scott,2016,142436.00,48789.00,2.89
County,Sherburne,2016,93457.00,31681.00,2.88
County,Sibley,2016,14824.00,5934.00,2.46
County,Stearns,2016,155732.00,58469.00,2.53
County,Steele,2016,36765.00,14441.00,2.51
County,Stevens,2016,9742.00,3697.00,2.35
County,Swift,2016,9384.00,4159.00,2.22
County,Todd,2016,24249.00,9719.00,2.46
County,Traverse,2016,3354.00,1485.00,2.19
County,Wabasha,2016,21216.00,8787.00,2.39
County,Wadena,2016,13799.00,5746.00,2.32
County,Waseca,2016,18784.00,7303.00,2.43
County,Washington,2016,253128.00,94044.00,2.65
County,Watonwan,2016,10922.00,4474.00,2.41
County,Wilkin,2016,6374.00,2694.00,2.31
County,Winona,2016,50947.00,19824.00,2.36
County,Wright,2016,132598.00,47134.00,2.79
County,Yellow Medicine,2016,9918.00,4156.00,2.31
EDR,01 (Northwest),2016,85794.00,35565.00,2.35
EDR,02 (Headwaters),2016,84949.00,33793.00,2.44
EDR,03 (Arrowhead),2016,325413.00,139369.00,2.24
EDR,04 (West Central),2016,228502.00,94138.00,2.35
EDR,05 (North Central),2016,163769.00,67710.00,2.38
EDR,06E (Southwest Central),2016,116162.00,47031.00,2.42
EDR,06W (Upper MN Valley),2016,43217.00,18742.00,2.25
EDR,07E (East Central),2016,164355.00,62428.00,2.56
EDR,07W (Central),2016,421787.00,153126.00,2.68
EDR,08 (Southwest),2016,117020.00,48037.00,2.38
EDR,09 (South Central),2016,231852.00,93379.00,2.37
EDR,10 (Southeast),2016,504284.00,199387.00,2.44
EDR,11 (7 County Twin Cities),2016,3041526.00,1192467.00,2.5
State,Minnesota,2015,5485238.00,2163531.00,2.47
County,Aitkin,2015,15715.00,7194.00,2.15
County,Anoka,2015,344838.00,126569.00,2.69
County,Becker,2015,33567.00,13786.00,2.4
